target,prediction
2.661690165775543737e-01,1.941746546428784193e-01
2.191241208723715417e-01,1.741410823332643631e-01
2.021787801993973899e-01,2.680352934551161748e-01
4.595612422930960284e-01,2.822157793956256988e-01
3.073504648758991209e-01,1.713546814667800122e-01
2.357491352305252919e-01,1.149713602171691385e-01
3.226836615903123096e-01,2.300275887787146534e-01
2.799447721199983530e-01,2.345404544053897866e-01
3.531261550904787327e-01,2.476227284086453539e-01
2.649984536443432681e-01,2.363046606242102388e-01
2.263740480155710666e-01,2.891175460888805171e-01
3.215405038345641175e-01,3.105229873322741252e-01
3.918376392761246940e-01,3.481806499823235090e-01
3.262116503942829038e-01,3.614929303318762943e-01
2.487030160619257690e-01,3.702395887260114815e-01
2.254388446535853519e-01,2.681691575069778954e-01
3.593125479486303231e-01,3.660544995669766100e-01
3.261727788416646234e-01,3.584262489893154657e-01
3.016434680068107999e-01,3.906238699588362451e-01
2.823610958508833146e-01,3.091758239093026495e-01
3.936668596553026811e-01,3.925143022963654138e-01
3.181603570344675447e-01,3.474781184935220035e-01
4.732900874520764578e-01,3.898256697304076646e-01
4.012168092350020254e-01,3.839126930636859170e-01
3.158691270729913070e-01,4.253039882702649432e-01
2.868157143750661997e-01,3.126311916972721594e-01
3.187397009698978434e-01,4.100009460311905274e-01
2.933421573490814782e-01,3.273788895150966938e-01
2.570933137242123467e-01,3.700576342765817817e-01
3.882395668352610629e-01,3.999633055877098720e-01
3.248187288522711436e-01,4.012635599440484979e-01
2.741576748682892362e-01,3.013061151408560345e-01
3.115138968231743188e-01,4.040637976664227526e-01
4.088652464047516366e-01,3.766323270730601580e-01
2.910344556076032152e-01,2.967067494997246979e-01
3.357006005990632591e-01,3.736142369184550782e-01
2.851504373018360905e-01,3.839836883446442473e-01
2.954185065652281672e-01,3.965267510214987023e-01
3.756245280629877392e-01,4.044760164806719960e-01
3.874440057328284448e-01,4.224773619139595704e-01
3.034562059542359469e-01,4.277088903012293275e-01
5.109774794201252801e-01,4.406177971382806424e-01
4.357120275931607445e-01,4.620171162900193473e-01
3.234441865782276548e-01,4.654456466097536826e-01
3.837321209777070363e-01,4.732656963133204386e-01
4.375759271711863185e-01,4.911876512979665432e-01
3.181043941298892230e-01,3.854424002758927159e-01
2.612916323570545485e-01,3.387757385308050595e-01
4.474427781167134022e-01,4.293450789201085915e-01
4.635658085505892645e-01,4.343385014250951692e-01
3.483360573390122950e-01,3.366196679332278952e-01
4.110422111203926310e-01,4.149091641916170525e-01
3.179817409459121946e-01,2.978218665866746440e-01
2.827623949436356421e-01,2.728747374585339669e-01
3.747570587184259061e-01,3.342249692286698437e-01
2.867877217043641735e-01,3.562313608101322915e-01
2.474874854897986531e-01,3.630406517175363001e-01
5.297720519785040771e-01,3.848294304602433158e-01
4.363968921265716228e-01,4.016478853370479829e-01
3.306597141021154762e-01,4.064417926311300056e-01
2.926914683517722882e-01,3.181139701643880824e-01
2.634581611959554426e-01,3.976686622533580628e-01
2.325544484046473681e-01,3.619843069954612469e-01
3.148349405203474394e-01,4.018554243043928609e-01
3.633595218208214295e-01,4.131544190017619744e-01
2.782424005478424944e-01,2.977363320826861282e-01
2.435355565691587065e-01,2.397438402430797644e-01
2.559859138340551676e-01,3.089869579974332536e-01
2.511507736480930175e-01,2.156010515248870663e-01
2.468248142607333828e-01,3.189170275126894660e-01
3.237825646939305746e-01,3.101459976377545225e-01
2.979788033903076339e-01,3.358434951789674994e-01
4.082742958113859677e-01,3.509660575140979843e-01
2.917557577976414018e-01,2.585872075837734041e-01
2.354292255737319428e-01,3.444285797344434075e-01
2.154129025570448719e-01,3.596852034519767427e-01
2.946728560940486963e-01,3.934206618143104572e-01
2.645277777194051660e-01,4.058050089626974444e-01
3.155357388417807663e-01,3.926385716112349433e-01
3.399044643137585364e-01,4.341065745488274508e-01
4.783118754026115527e-01,4.375087643097476109e-01
3.299250725520709304e-01,3.617869865582939992e-01
2.687197062701016659e-01,4.231322755383644107e-01
2.920891038606537871e-01,4.424882237917860395e-01
4.494464931766901650e-01,4.467846367846068922e-01
3.646754039143998982e-01,3.888867976882890432e-01
6.033474680934756140e-01,4.432046215889803298e-01
5.039652557101640395e-01,4.538429962866021294e-01
4.917375704444930662e-01,4.626133843215760599e-01
4.094877446380812414e-01,3.914765643894500546e-01
3.160940418814586206e-01,4.518379507920892713e-01
4.729167285407210874e-01,4.663458777135115474e-01
4.090876505975588051e-01,4.528259362701587687e-01
5.953271069203847077e-01,4.670096888746624320e-01
4.506668688512266430e-01,4.745709576405743868e-01
3.704958733692741424e-01,3.869703436494010274e-01
5.510073767365457620e-01,4.837978462113070588e-01
4.674521993250376761e-01,4.333050607605654081e-01
3.573481370701053761e-01,3.835767209520043464e-01
3.914776877992338644e-01,4.386638488122581170e-01
4.806716993661770410e-01,4.445482172896914608e-01
3.972269363511963247e-01,4.333633818849345065e-01
4.711526246362184311e-01,4.540082749690161901e-01
5.480603047156150653e-01,4.593315145608763972e-01
4.020952514872666583e-01,4.559116391553270642e-01
4.322884592378767321e-01,4.610874032717566240e-01
3.911814935739409416e-01,4.906461326595655814e-01
3.477132881809899545e-01,4.945086281835791020e-01
4.327379320118770467e-01,4.949777915090360914e-01
3.328014250550548336e-01,4.035798857774440807e-01
3.726224007570325680e-01,4.704417274881428357e-01
3.724970730545403841e-01,4.714384851546575272e-01
5.437969931597680384e-01,4.809211387792882153e-01
4.758979055930512292e-01,4.924639433029700530e-01
3.633897396733438701e-01,4.133403044670571624e-01
4.881973042898617443e-01,4.810263860744508069e-01
5.557565401544034556e-01,4.787787467329203128e-01
5.480780614700514475e-01,4.867811305180795856e-01
3.907084992578191418e-01,4.551485131759687164e-01
3.714926395039824802e-01,4.010445841363841080e-01
3.101206747022974275e-01,3.407934909329016770e-01
4.088342310557208092e-01,4.369208345334402166e-01
3.611359215880662887e-01,3.569334601710009713e-01
3.114308937673780919e-01,4.017631157686430976e-01
5.413073398715098072e-01,4.119648986333629415e-01
5.574636029076061039e-01,4.308514788795727579e-01
4.687626253899426221e-01,3.889469655826439110e-01
3.500834685473178665e-01,3.039900882001783655e-01
2.984181047142865362e-01,3.456694256834947909e-01
2.555288785458586509e-01,3.250354355837802300e-01
3.400378577028534410e-01,3.711110314490448925e-01
3.016384652909279707e-01,3.665572976733976751e-01
3.042231388595822983e-01,3.682611168773637367e-01
3.582550799829282706e-01,3.734125367847374033e-01
3.679133310589449701e-01,3.747510004080617518e-01
3.273889007702324161e-01,3.918601313738537817e-01
2.648076609180539664e-01,3.910076746252332258e-01
3.091856071891814217e-01,4.209093448684139704e-01
2.802559171821233930e-01,4.234583526342827198e-01
2.299548194946909596e-01,3.319989280684632615e-01
2.694900758753007719e-01,4.036546750694712804e-01
2.517213176815352726e-01,3.636636244633079662e-01
2.990847275569435970e-01,4.180415419990548553e-01
3.623834817686383269e-01,4.375941879312866822e-01
3.811999488251472945e-01,4.308713817345965480e-01
2.861623794998182646e-01,3.657580816186621897e-01
3.704162311298512256e-01,4.307296417019370049e-01
3.598019395968109491e-01,4.240350673434548079e-01
2.653999166132147147e-01,4.289023360045221001e-01
2.772670363134953631e-01,4.321493378449150491e-01
2.844146076203515339e-01,4.596826289188300496e-01
2.571189013040171001e-01,3.480224384160937601e-01
2.332487966853997730e-01,3.063478513327527741e-01
3.852415246332785426e-01,4.013387779499578700e-01
2.845403690351552273e-01,3.399734919655262311e-01
2.954072960182825280e-01,3.822199526954789262e-01
3.940852518819151218e-01,3.987502310443867826e-01
3.014492473916912663e-01,3.133482622771438519e-01
3.529317433080089161e-01,3.943573354329383829e-01
3.644648099902590976e-01,3.900811247326782527e-01
2.755453713396657789e-01,3.572033130719122207e-01
2.444056943532515458e-01,4.022992442659644174e-01
3.582185223738740820e-01,4.151748592970109231e-01
2.825011666161986179e-01,3.820542831418030638e-01
3.319665040754493646e-01,4.199859197773789798e-01
3.808410481426521832e-01,4.115668706290759316e-01
3.051546728619165538e-01,4.266328197474629214e-01
3.539596834195627428e-01,4.001240217143460232e-01
2.885858940361036851e-01,3.313045170165032083e-01
2.920749058789729458e-01,4.129253206431821588e-01
4.940762987419881069e-01,4.112930756472947813e-01
3.899136446231069586e-01,3.881757224297770481e-01
3.287432155363150255e-01,4.227500007323676812e-01
2.589407431957688743e-01,3.252306494748767318e-01
3.394052213801520557e-01,4.144855433400758127e-01
3.044352857073395757e-01,3.704242682011669174e-01
2.835455441362673135e-01,4.020465596837689559e-01
2.869382065278887062e-01,4.167599905422458839e-01
2.939699010934664347e-01,3.633526102848505523e-01
4.155249810769269248e-01,4.156139782904318403e-01
3.005975187187479580e-01,3.199793769590542070e-01
3.515345080329310701e-01,3.987088926818569412e-01
2.647442571157212488e-01,3.978306825971181238e-01
3.999607392994031230e-01,4.193285587839308270e-01
3.677206640666736970e-01,4.304852301184548535e-01
3.385912871278790037e-01,4.399017658234916639e-01
3.979191635142776962e-01,4.471024386348306789e-01
3.091868956389550727e-01,4.203166746978146406e-01
4.066206203275360975e-01,4.612268465769736037e-01
3.091195323005423434e-01,4.593057668541548066e-01
3.335358410348955305e-01,4.649120200766678757e-01
5.325891748768414313e-01,4.794388469313108914e-01
5.033859449335932323e-01,4.825129975669295579e-01
5.765188425869685052e-01,4.899102924158795780e-01
4.546090084503762174e-01,4.757134679136210131e-01
4.860575517158193248e-01,4.875387454889138494e-01
3.774728577567448840e-01,4.585880618570997713e-01
